circuit_seed,transpile_seed,orig_depth,orig_size,orig_num_qubits,orig_cx_count,orig_swap_count,orig_measure_count,comp_depth,comp_size,comp_num_qubits,comp_cx_count,comp_swap_count,comp_measure_count
0,0,17,48,8,11,0,8,34,62,8,21,0,8
0,1,17,48,8,11,0,8,24,49,8,21,0,8
0,2,17,48,8,11,0,8,34,62,8,21,0,8
0,3,17,48,8,11,0,8,27,51,8,23,0,8
0,4,17,48,8,11,0,8,27,52,8,24,0,8
0,5,17,48,8,11,0,8,33,64,8,24,0,8
0,6,17,48,8,11,0,8,33,64,8,24,0,8
0,7,17,48,8,11,0,8,27,51,8,23,0,8
0,8,17,48,8,11,0,8,24,49,8,21,0,8
0,9,17,48,8,11,0,8,24,49,8,21,0,8
1,0,13,48,8,16,0,8,44,96,8,52,0,8
1,1,13,48,8,16,0,8,44,111,8,52,0,8
1,2,13,48,8,16,0,8,44,96,8,52,0,8
1,3,13,48,8,16,0,8,44,96,8,52,0,8
1,4,13,48,8,16,0,8,44,96,8,52,0,8
1,5,13,48,8,16,0,8,45,96,8,52,0,8
1,6,13,48,8,16,0,8,45,96,8,52,0,8
1,7,13,48,8,16,0,8,45,96,8,52,0,8
1,8,13,48,8,16,0,8,44,96,8,52,0,8
1,9,13,48,8,16,0,8,44,96,8,52,0,8
2,0,16,48,8,11,0,8,32,74,8,24,0,8
2,1,16,48,8,11,0,8,30,74,8,24,0,8
2,2,16,48,8,11,0,8,31,73,8,24,0,8
2,3,16,48,8,11,0,8,32,74,8,24,0,8
2,4,16,48,8,11,0,8,27,67,8,26,0,8
2,5,16,48,8,11,0,8,31,73,8,24,0,8
2,6,16,48,8,11,0,8,28,67,8,26,0,8
2,7,16,48,8,11,0,8,27,67,8,26,0,8
2,8,16,48,8,11,0,8,30,74,8,24,0,8
2,9,16,48,8,11,0,8,31,73,8,24,0,8
3,0,14,48,8,10,0,8,30,80,8,21,0,8
3,1,14,48,8,10,0,8,33,90,8,19,0,8
3,2,14,48,8,10,0,8,30,80,8,21,0,8
3,3,14,48,8,10,0,8,31,83,8,21,0,8
3,4,14,48,8,10,0,8,30,80,8,21,0,8
3,5,14,48,8,10,0,8,30,80,8,21,0,8
3,6,14,48,8,10,0,8,30,80,8,21,0,8
3,7,14,48,8,10,0,8,30,80,8,21,0,8
3,8,14,48,8,10,0,8,31,83,8,21,0,8
3,9,14,48,8,10,0,8,31,83,8,21,0,8
4,0,15,48,8,8,0,8,21,50,8,17,0,8
4,1,15,48,8,8,0,8,21,50,8,17,0,8
4,2,15,48,8,8,0,8,21,50,8,17,0,8
4,3,15,48,8,8,0,8,21,50,8,17,0,8
4,4,15,48,8,8,0,8,18,50,8,17,0,8
4,5,15,48,8,8,0,8,21,50,8,17,0,8
4,6,15,48,8,8,0,8,21,50,8,17,0,8
4,7,15,48,8,8,0,8,18,50,8,17,0,8
4,8,15,48,8,8,0,8,21,50,8,17,0,8
4,9,15,48,8,8,0,8,18,50,8,17,0,8
5,0,10,48,8,4,0,8,8,41,8,4,0,8
5,1,10,48,8,4,0,8,8,41,8,4,0,8
5,2,10,48,8,4,0,8,8,41,8,4,0,8
5,3,10,48,8,4,0,8,8,41,8,4,0,8
5,4,10,48,8,4,0,8,8,41,8,4,0,8
5,5,10,48,8,4,0,8,8,41,8,4,0,8
5,6,10,48,8,4,0,8,8,41,8,4,0,8
5,7,10,48,8,4,0,8,8,41,8,4,0,8
5,8,10,48,8,4,0,8,8,41,8,4,0,8
5,9,10,48,8,4,0,8,8,41,8,4,0,8
6,0,15,48,8,14,0,8,43,94,8,38,0,8
6,1,15,48,8,14,0,8,46,94,8,38,0,8
6,2,15,48,8,14,0,8,43,94,8,38,0,8
6,3,15,48,8,14,0,8,46,94,8,38,0,8
6,4,15,48,8,14,0,8,42,93,8,38,0,8
6,5,15,48,8,14,0,8,42,93,8,38,0,8
6,6,15,48,8,14,0,8,43,94,8,38,0,8
6,7,15,48,8,14,0,8,39,93,8,38,0,8
6,8,15,48,8,14,0,8,42,93,8,38,0,8
6,9,15,48,8,14,0,8,43,94,8,38,0,8
7,0,12,48,8,11,0,8,29,69,8,24,0,8
7,1,12,48,8,11,0,8,34,80,8,22,0,8
7,2,12,48,8,11,0,8,29,69,8,24,0,8
7,3,12,48,8,11,0,8,29,70,8,24,0,8
7,4,12,48,8,11,0,8,27,69,8,24,0,8
7,5,12,48,8,11,0,8,29,70,8,24,0,8
7,6,12,48,8,11,0,8,33,79,8,22,0,8
7,7,12,48,8,11,0,8,27,76,8,20,0,8
7,8,12,48,8,11,0,8,31,78,8,22,0,8
7,9,12,48,8,11,0,8,29,69,8,24,0,8
8,0,16,48,8,11,0,8,22,68,8,22,0,8
8,1,16,48,8,11,0,8,25,68,8,22,0,8
8,2,16,48,8,11,0,8,25,59,8,24,0,8
8,3,16,48,8,11,0,8,23,68,8,22,0,8
8,4,16,48,8,11,0,8,23,68,8,22,0,8
8,5,16,48,8,11,0,8,25,59,8,24,0,8
8,6,16,48,8,11,0,8,26,68,8,22,0,8
8,7,16,48,8,11,0,8,22,68,8,22,0,8
8,8,16,48,8,11,0,8,26,68,8,22,0,8
8,9,16,48,8,11,0,8,25,59,8,24,0,8
9,0,12,48,8,9,0,8,30,67,8,14,0,8
9,1,12,48,8,9,0,8,30,67,8,14,0,8
9,2,12,48,8,9,0,8,18,54,8,14,0,8
9,3,12,48,8,9,0,8,18,55,8,14,0,8
9,4,12,48,8,9,0,8,32,66,8,14,0,8
9,5,12,48,8,9,0,8,29,66,8,14,0,8
9,6,12,48,8,9,0,8,30,67,8,14,0,8
9,7,12,48,8,9,0,8,29,66,8,14,0,8
9,8,12,48,8,9,0,8,30,67,8,14,0,8
9,9,12,48,8,9,0,8,32,66,8,14,0,8
